CLUB,PLAYER,AGE,WEBSITE
Sheffield United,Enda Stevens, 29,/Players/42266/Show/Enda-Stevens
Sheffield United,Jack O'Connell, 25,/Players/134473/Show/Jack-O-Connell
Sheffield United,Oliver Norwood, 28,/Players/90324/Show/Oliver-Norwood
Sheffield United,John Egan, 26,/Players/108632/Show/John-Egan
Sheffield United,John Lundstram, 25,/Players/126149/Show/John-Lundstram
Sheffield United,John Fleck, 28,/Players/30448/Show/John-Fleck
Sheffield United,George Baldock, 26,/Players/134244/Show/George-Baldock
Sheffield United,Oliver McBurnie, 23,/Players/138695/Show/Oliver-McBurnie
Sheffield United,Chris Basham, 31,/Players/35607/Show/Chris-Basham
Sheffield United,Luke Freeman, 27,/Players/33290/Show/Luke-Freeman
Sheffield United,Dean Henderson, 22,/Players/304008/Show/Dean-Henderson
Sheffield United,David McGoldrick, 31,/Players/18501/Show/David-McGoldrick
Sheffield United,Phil Jagielka, 37,/Players/6105/Show/Phil-Jagielka
Sheffield United,Callum Robinson, 24,/Players/138768/Show/Callum-Robinson
Sheffield United,Lys Mousset, 23,/Players/296332/Show/Lys-Mousset
Sheffield United,Ben Osborn, 25,/Players/140667/Show/Ben-Osborn
Sheffield United,Billy Sharp, 33,/Players/13399/Show/Billy-Sharp
Sheffield United,Ravel Morrison, 26,/Players/93475/Show/Ravel-Morrison
Sheffield United,Leon Clarke, 34,/Players/7807/Show/Leon-Clarke
