Club,Website
Liverpool,/Teams/26/Show/England-Liverpool
Manchester City,/Teams/167/Show/England-Manchester-City
Arsenal,/Teams/13/Show/England-Arsenal
Leicester,/Teams/14/Show/England-Leicester
Chelsea,/Teams/15/Show/England-Chelsea
Crystal Palace,/Teams/162/Show/England-Crystal-Palace
Burnley,/Teams/184/Show/England-Burnley
West Ham,/Teams/29/Show/England-West-Ham
Tottenham,/Teams/30/Show/England-Tottenham
Bournemouth,/Teams/183/Show/England-Bournemouth
Wolverhampton Wanderers,/Teams/161/Show/England-Wolverhampton-Wanderers
Manchester United,/Teams/32/Show/England-Manchester-United
Sheffield United,/Teams/163/Show/England-Sheffield-United
Brighton,/Teams/211/Show/England-Brighton
Aston Villa,/Teams/24/Show/England-Aston-Villa
Newcastle United,/Teams/23/Show/England-Newcastle-United
Southampton,/Teams/18/Show/England-Southampton
Everton,/Teams/31/Show/England-Everton
Norwich,/Teams/168/Show/England-Norwich
Watford,/Teams/27/Show/England-Watford
