ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,8,-	,Crystal Palac..,-	,49.3	,1	,6.69,2019/2020,EPL,0.6	,-	,-	,720	
-	,20,2	,Crystal Palac..,-	,42.5	,2	,6.74,2018/2019,EPL,0.4	,-	,-	,1755	
-	,33,3	,Getafe,-	,38.9	,1	,6.82,2017/2018,SLL,0.4	,-	,-	,2970	
-	,38,-	,Getafe,-	,44.2	,2	,6.62,2015/2016,SLL,0.5	,-	,-	,3420	
-	,29,-	,Getafe,-	,47.1	,1	,6.56,2014/2015,SLL,0.7	,-	,-	,2610	
-	,11(2),-	,Valencia,-	,52.1	,1	,6.63,2013/2014,SLL,0.6	,-	,-	,1136	
-	,7,-	,Valencia,-	,67.4	,1	,6.39,2013/2014,UEL,-	,-	,-	,660	
-	,14,1	,Valencia,-	,56.3	,1	,7.02,2012/2013,SLL,0.8	,-	,-	,1260	
-	,6,1	,Valencia,-	,69.3	,2	,7.05,2012/2013,UCL,0.2	,-	,-	,540	
-	,26,2	,Valencia,-	,58.6	,1	,7.02,2011/2012,SLL,0.3	,-	,-	,2340	
-	,19(2),-	,Valencia,-	,58.5	,2	,6.93,2010/2011,SLL,-	,-	,-	,1793	
-	,3(1),1	,Valencia,-	,53.8	,-	,6.94,2010/2011,UCL,0.3	,-	,-	,337	
0,219,10,,0,49.8,15,6.77,Total / Average,,0.4,0,0,19541
-	,8,-	,Crystal Palac..,-	,49.3	,1	,6.69,2019/2020,EPL,0.6	,-	,-	,720	
-	,20,2	,Crystal Palac..,-	,42.5	,2	,6.74,2018/2019,EPL,0.4	,-	,-	,1755	
-	,33,3	,Getafe,-	,38.9	,1	,6.82,2017/2018,SLL,0.4	,-	,-	,2970	
-	,38,-	,Getafe,-	,44.2	,2	,6.62,2015/2016,SLL,0.5	,-	,-	,3420	
-	,29,-	,Getafe,-	,47.1	,1	,6.56,2014/2015,SLL,0.7	,-	,-	,2610	
-	,11(2),-	,Valencia,-	,52.1	,1	,6.63,2013/2014,SLL,0.6	,-	,-	,1136	
-	,7,-	,Valencia,-	,67.4	,1	,6.39,2013/2014,UEL,-	,-	,-	,660	
-	,14,1	,Valencia,-	,56.3	,1	,7.02,2012/2013,SLL,0.8	,-	,-	,1260	
-	,6,1	,Valencia,-	,69.3	,2	,7.05,2012/2013,UCL,0.2	,-	,-	,540	
-	,26,2	,Valencia,-	,58.6	,1	,7.02,2011/2012,SLL,0.3	,-	,-	,2340	
-	,19(2),-	,Valencia,-	,58.5	,2	,6.93,2010/2011,SLL,-	,-	,-	,1793	
-	,3(1),1	,Valencia,-	,53.8	,-	,6.94,2010/2011,UCL,0.3	,-	,-	,337	
0,219,10,,0,49.8,15,6.77,Total / Average,,0.4,0,0,19541
